feature,importance,std
Feature0,0.0,0.0
Feature397,0.0,0.0
Feature391,0.0,0.0
Feature392,0.0,0.0
Feature393,0.0,0.0
Feature394,0.0,0.0
Feature395,0.0,0.0
Feature396,0.0,0.0
Feature398,0.0,0.0
Feature389,0.0,0.0
Feature399,0.0,0.0
Feature400,0.0,0.0
Feature401,0.0,0.0
Feature402,0.0,0.0
Feature403,0.0,0.0
Feature404,0.0,0.0
Feature390,0.0,0.0
Feature388,0.0,0.0
Feature441,0.0,0.0
Feature376,0.0,0.0
Feature370,0.0,0.0
Feature371,0.0,0.0
Feature372,0.0,0.0
Feature373,0.0,0.0
Feature374,0.0,0.0
Feature375,0.0,0.0
Feature377,0.0,0.0
Feature387,0.0,0.0
Feature378,0.0,0.0
Feature379,0.0,0.0
Feature380,0.0,0.0
Feature381,0.0,0.0
Feature385,0.0,0.0
Feature386,0.0,0.0
Feature405,0.0,0.0
Feature406,0.0,0.0
Feature407,0.0,0.0
Feature432,0.0,0.0
Feature426,0.0,0.0
Feature427,0.0,0.0
Feature428,0.0,0.0
Feature429,0.0,0.0
Feature430,0.0,0.0
Feature431,0.0,0.0
Feature433,0.0,0.0
Feature408,0.0,0.0
Feature434,0.0,0.0
Feature435,0.0,0.0
Feature436,0.0,0.0
Feature437,0.0,0.0
Feature438,0.0,0.0
Feature439,0.0,0.0
Feature425,0.0,0.0
Feature424,0.0,0.0
Feature423,0.0,0.0
Feature422,0.0,0.0
Feature421,0.0,0.0
Feature420,0.0,0.0
Feature419,0.0,0.0
Feature418,0.0,0.0
Feature417,0.0,0.0
Feature416,0.0,0.0
Feature415,0.0,0.0
Feature414,0.0,0.0
Feature413,0.0,0.0
Feature412,0.0,0.0
Feature411,0.0,0.0
Feature410,0.0,0.0
Feature409,0.0,0.0
Feature369,0.0,0.0
Feature368,0.0,0.0
Feature367,0.0,0.0
Feature320,0.0,0.0
Feature314,0.0,0.0
Feature315,0.0,0.0
Feature316,0.0,0.0
Feature317,0.0,0.0
Feature318,0.0,0.0
Feature319,0.0,0.0
Feature321,0.0,0.0
Feature329,0.0,0.0
Feature322,0.0,0.0
Feature323,0.0,0.0
Feature324,0.0,0.0
Feature325,0.0,0.0
Feature326,0.0,0.0
Feature327,0.0,0.0
Feature313,0.0,0.0
Feature312,0.0,0.0
Feature311,0.0,0.0
Feature310,0.0,0.0
Feature309,0.0,0.0
Feature308,0.0,0.0
Feature307,0.0,0.0
Feature306,0.0,0.0
Feature305,0.0,0.0
Feature304,0.0,0.0
Feature303,0.0,0.0
Feature302,0.0,0.0
Feature301,0.0,0.0
Feature300,0.0,0.0
Feature299,0.0,0.0
Feature298,0.0,0.0
Feature297,0.0,0.0
Feature328,0.0,0.0
Feature330,0.0,0.0
Feature366,0.0,0.0
Feature357,0.0,0.0
Feature351,0.0,0.0
Feature352,0.0,0.0
Feature353,0.0,0.0
Feature354,0.0,0.0
Feature355,0.0,0.0
Feature356,0.0,0.0
Feature359,0.0,0.0
Feature331,0.0,0.0
Feature360,0.0,0.0
Feature361,0.0,0.0
Feature362,0.0,0.0
Feature363,0.0,0.0
Feature364,0.0,0.0
Feature365,0.0,0.0
Feature350,0.0,0.0
Feature349,0.0,0.0
Feature348,0.0,0.0
Feature347,0.0,0.0
Feature344,0.0,0.0
Feature343,0.0,0.0
Feature342,0.0,0.0
Feature341,0.0,0.0
Feature340,0.0,0.0
Feature339,0.0,0.0
Feature338,0.0,0.0
Feature337,0.0,0.0
Feature336,0.0,0.0
Feature335,0.0,0.0
Feature334,0.0,0.0
Feature333,0.0,0.0
Feature332,0.0,0.0
Feature440,0.0,0.0
Feature442,0.0,0.0
Feature1,0.0,0.0
Feature542,0.0,0.0
Feature536,0.0,0.0
Feature537,0.0,0.0
Feature538,0.0,0.0
Feature539,0.0,0.0
Feature540,0.0,0.0
Feature541,0.0,0.0
Feature543,0.0,0.0
Feature534,0.0,0.0
Feature544,0.0,0.0
Feature545,0.0,0.0
Feature546,0.0,0.0
Feature547,0.0,0.0
Feature548,0.0,0.0
Feature549,0.0,0.0
Feature535,0.0,0.0
Feature533,0.0,0.0
Feature443,0.0,0.0
Feature524,0.0,0.0
Feature515,0.0,0.0
Feature519,0.0,0.0
Feature520,0.0,0.0
Feature521,0.0,0.0
Feature522,0.0,0.0
Feature523,0.0,0.0
Feature525,0.0,0.0
Feature532,0.0,0.0
Feature526,0.0,0.0
Feature527,0.0,0.0
Feature528,0.0,0.0
Feature529,0.0,0.0
Feature530,0.0,0.0
Feature531,0.0,0.0
Feature550,0.0,0.0
Feature551,0.0,0.0
Feature552,0.0,0.0
Feature577,0.0,0.0
Feature571,0.0,0.0
Feature572,0.0,0.0
Feature573,0.0,0.0
Feature574,0.0,0.0
Feature575,0.0,0.0
Feature576,0.0,0.0
Feature582,0.0,0.0
Feature553,0.0,0.0
Feature583,0.0,0.0
Feature584,0.0,0.0
Feature585,0.0,0.0
Feature586,0.0,0.0
Feature587,0.0,0.0
Feature588,0.0,0.0
Feature570,0.0,0.0
Feature569,0.0,0.0
Feature568,0.0,0.0
Feature567,0.0,0.0
Feature566,0.0,0.0
Feature565,0.0,0.0
Feature564,0.0,0.0
Feature563,0.0,0.0
Feature562,0.0,0.0
Feature561,0.0,0.0
Feature560,0.0,0.0
Feature559,0.0,0.0
Feature558,0.0,0.0
Feature557,0.0,0.0
Feature556,0.0,0.0
Feature555,0.0,0.0
Feature554,0.0,0.0
Feature514,0.0,0.0
Feature513,0.0,0.0
Feature512,0.0,0.0
Feature467,0.0,0.0
Feature461,0.0,0.0
Feature462,0.0,0.0
Feature463,0.0,0.0
Feature464,0.0,0.0
Feature465,0.0,0.0
Feature466,0.0,0.0
Feature468,0.0,0.0
Feature476,0.0,0.0
Feature469,0.0,0.0
Feature470,0.0,0.0
Feature471,0.0,0.0
Feature472,0.0,0.0
Feature473,0.0,0.0
Feature474,0.0,0.0
Feature460,0.0,0.0
Feature459,0.0,0.0
Feature458,0.0,0.0
Feature457,0.0,0.0
Feature456,0.0,0.0
Feature455,0.0,0.0
Feature454,0.0,0.0
Feature453,0.0,0.0
Feature452,0.0,0.0
Feature451,0.0,0.0
Feature450,0.0,0.0
Feature449,0.0,0.0
Feature448,0.0,0.0
Feature447,0.0,0.0
Feature446,0.0,0.0
Feature445,0.0,0.0
Feature444,0.0,0.0
Feature475,0.0,0.0
Feature477,0.0,0.0
Feature511,0.0,0.0
Feature503,0.0,0.0
Feature497,0.0,0.0
Feature498,0.0,0.0
Feature499,0.0,0.0
Feature500,0.0,0.0
Feature501,0.0,0.0
Feature502,0.0,0.0
Feature504,0.0,0.0
Feature478,0.0,0.0
Feature505,0.0,0.0
Feature506,0.0,0.0
Feature507,0.0,0.0
Feature508,0.0,0.0
Feature509,0.0,0.0
Feature510,0.0,0.0
Feature496,0.0,0.0
Feature495,0.0,0.0
Feature494,0.0,0.0
Feature493,0.0,0.0
Feature491,0.0,0.0
Feature490,0.0,0.0
Feature489,0.0,0.0
Feature488,0.0,0.0
Feature487,0.0,0.0
Feature486,0.0,0.0
Feature485,0.0,0.0
Feature484,0.0,0.0
Feature483,0.0,0.0
Feature482,0.0,0.0
Feature481,0.0,0.0
Feature480,0.0,0.0
Feature479,0.0,0.0
Feature296,0.0,0.0
Feature295,0.0,0.0
Feature294,0.0,0.0
Feature99,0.0,0.0
Feature93,0.0,0.0
Feature94,0.0,0.0
Feature95,0.0,0.0
Feature96,0.0,0.0
Feature97,0.0,0.0
Feature98,0.0,0.0
Feature100,0.0,0.0
Feature91,0.0,0.0
Feature101,0.0,0.0
Feature102,0.0,0.0
Feature103,0.0,0.0
Feature104,0.0,0.0
Feature105,0.0,0.0
Feature106,0.0,0.0
Feature92,0.0,0.0
Feature90,0.0,0.0
Feature291,0.0,0.0
Feature80,0.0,0.0
Feature74,0.0,0.0
Feature75,0.0,0.0
Feature76,0.0,0.0
Feature77,0.0,0.0
Feature78,0.0,0.0
Feature79,0.0,0.0
Feature81,0.0,0.0
Feature89,0.0,0.0
Feature82,0.0,0.0
Feature83,0.0,0.0
Feature84,0.0,0.0
Feature86,0.0,0.0
Feature87,0.0,0.0
Feature88,0.0,0.0
Feature107,0.0,0.0
Feature108,0.0,0.0
Feature112,0.0,0.0
Feature137,0.0,0.0
Feature131,0.0,0.0
Feature132,0.0,0.0
Feature133,0.0,0.0
Feature134,0.0,0.0
Feature135,0.0,0.0
Feature136,0.0,0.0
Feature138,0.0,0.0
Feature113,0.0,0.0
Feature139,0.0,0.0
Feature140,0.0,0.0
Feature141,0.0,0.0
Feature142,0.0,0.0
Feature143,0.0,0.0
Feature144,0.0,0.0
Feature130,0.0,0.0
Feature129,0.0,0.0
Feature128,0.0,0.0
Feature127,0.0,0.0
Feature126,0.0,0.0
Feature125,0.0,0.0
Feature124,0.0,0.0
Feature123,0.0,0.0
Feature122,0.0,0.0
Feature121,0.0,0.0
Feature120,0.0,0.0
Feature119,0.0,0.0
Feature118,0.0,0.0
Feature117,0.0,0.0
Feature116,0.0,0.0
Feature115,0.0,0.0
Feature114,0.0,0.0
Feature71,0.0,0.0
Feature70,0.0,0.0
Feature69,0.0,0.0
